Address:,USB0::0x0957::0x179A::MY62160698::0::INSTR,,Function Channels,,
Model:,DSO-X 2004A,,Time (s),M1,
,,,-0.988363,-0.841796774649993,
,,,-0.988331,-0.841796774649993,
,,,-0.988299,-0.902343642432243,
,,,-0.988267,-0.960937385447323,
,,,-0.988235,-1.02148425322957,
,,,-0.988203,-1.08203112101182,
,,,-0.988171,-1.16210923646577,
,,,-0.988139,-1.24218735191971,
,,,-0.988107,-1.22265610424802,
,,,-0.988075,-1.2812498472631,
,,,-0.988043,-1.3828123351559,
,,,-0.988011,-1.36132796271704,
,,,-0.987979,-1.4023435828276,
,,,-0.987947,-1.44140607817098,
,,,-0.987915,-1.42187483049929,
,,,-0.987883,-1.22265610424802,
,,,-0.987851,-1.10156236868352,
,,,-0.987819,-0.94140613777563,
,,,-0.987787,-0.94140613777563,
,,,-0.987755,-1.08203112101182,
,,,-0.987723,-1.48242169828154,
,,,-0.987691,-1.92187477089465,
,,,-0.987659,-1.92187477089465,
,,,-0.987627,-1.92187477089465,
,,,-0.987595,-1.92187477089465,
,,,-0.987563,-1.92187477089465,
,,,-0.987531,-1.92187477089465,
,,,-0.987499,-1.92187477089465,
,,,-0.987467,-1.92187477089465,
,,,-0.987435,-1.92187477089465,
,,,-0.987403,-1.92187477089465,
,,,-0.987371,-1.92187477089465,
,,,-0.987339,-1.92187477089465,
,,,-0.987307,-1.92187477089465,
,,,-0.987275,-1.92187477089465,
,,,-0.987243,-1.92187477089465,
,,,-0.987211,-1.92187477089465,
,,,-0.987179,-1.92187477089465,
,,,-0.987147,-1.92187477089465,
,,,-0.987115,-1.92187477089465,
,,,-0.987083,-1.92187477089465,
,,,-0.987051,-1.92187477089465,
,,,-0.987019,-1.92187477089465,
,,,-0.986987,-1.92187477089465,
,,,-0.986955,-1.92187477089465,
,,,-0.986923,-1.92187477089465,
,,,-0.986891,-1.92187477089465,
,,,-0.986859,-1.92187477089465,
,,,-0.986827,-1.92187477089465,
,,,-0.986795,-1.92187477089465,
,,,-0.986763,-1.92187477089465,
,,,-0.986731,-1.92187477089465,
,,,-0.986699,-1.92187477089465,
