Address:,USB0::0x0957::0x179A::MY62160698::0::INSTR,,Function Channels,,
Model:,DSO-X 2004A,,Time (s),M1,
,,,-0.989387,-1.92187477089465,
,,,-0.989355,-1.92187477089465,
,,,-0.989323,-1.92187477089465,
,,,-0.989291,-1.92187477089465,
,,,-0.989259,-1.92187477089465,
,,,-0.989227,-1.92187477089465,
,,,-0.989195,-1.92187477089465,
,,,-0.989163,-1.92187477089465,
,,,-0.989131,-1.92187477089465,
,,,-0.989099,-1.92187477089465,
,,,-0.989067,-1.92187477089465,
,,,-0.989035,-1.92187477089465,
,,,-0.989003,-1.92187477089465,
,,,-0.988971,-1.92187477089465,
,,,-0.988939,-1.92187477089465,
,,,-0.988907,-1.92187477089465,
,,,-0.988875,-1.92187477089465,
,,,-0.988843,-1.92187477089465,
,,,-0.988811,-1.92187477089465,
,,,-0.988779,-1.92187477089465,
,,,-0.988747,-1.92187477089465,
,,,-0.988715,-1.92187477089465,
,,,-0.988683,-1.92187477089465,
,,,-0.988651,-1.92187477089465,
,,,-0.988619,-1.92187477089465,
,,,-0.988587,-1.92187477089465,
,,,-0.988555,-1.92187477089465,
,,,-0.988523,-1.92187477089465,
,,,-0.988491,-1.92187477089465,
,,,-0.988459,-1.92187477089465,
,,,-0.988427,-1.92187477089465,
,,,-0.988395,-1.92187477089465,
,,,-0.988363,-1.92187477089465,
,,,-0.988331,-1.92187477089465,
,,,-0.988299,-1.92187477089465,
,,,-0.988267,-1.92187477089465,
,,,-0.988235,-1.92187477089465,
,,,-0.988203,-1.92187477089465,
,,,-0.988171,-1.92187477089465,
,,,-0.988139,-1.92187477089465,
,,,-0.988107,-1.92187477089465,
,,,-0.988075,-1.92187477089465,
,,,-0.988043,-1.92187477089465,
,,,-0.988011,-1.92187477089465,
,,,-0.987979,-1.92187477089465,
,,,-0.987947,-1.92187477089465,
,,,-0.987915,-1.92187477089465,
,,,-0.987883,-1.92187477089465,
,,,-0.987851,-1.92187477089465,
,,,-0.987819,-1.92187477089465,
,,,-0.987787,-1.92187477089465,
,,,-0.987755,-1.92187477089465,
,,,-0.987723,-1.92187477089465,
,,,-0.987691,-1.92187477089465,
,,,-0.987659,-1.92187477089465,
,,,-0.987627,-1.92187477089465,
,,,-0.987595,-1.92187477089465,
,,,-0.987563,-1.92187477089465,
,,,-0.987531,-1.92187477089465,
,,,-0.987499,-1.92187477089465,
,,,-0.987467,-1.92187477089465,
,,,-0.987435,-1.92187477089465,
,,,-0.987403,-1.92187477089465,
,,,-0.987371,-1.92187477089465,
,,,-0.987339,-1.92187477089465,
,,,-0.987307,-1.92187477089465,
,,,-0.987275,-1.92187477089465,
,,,-0.987243,-1.92187477089465,
,,,-0.987211,-1.92187477089465,
,,,-0.987179,-1.92187477089465,
,,,-0.987147,-1.92187477089465,
,,,-0.987115,-1.92187477089465,
,,,-0.987083,-1.92187477089465,
,,,-0.987051,-1.92187477089465,
,,,-0.987019,-1.92187477089465,
,,,-0.986987,-1.92187477089465,
,,,-0.986955,-1.92187477089465,
,,,-0.986923,-1.92187477089465,
,,,-0.986891,-1.92187477089465,
,,,-0.986859,-1.92187477089465,
,,,-0.986827,-1.92187477089465,
,,,-0.986795,-1.92187477089465,
,,,-0.986763,-1.92187477089465,
,,,-0.986731,-1.92187477089465,
,,,-0.986699,-1.92187477089465,
,,,-0.986667,-1.92187477089465,
,,,-0.986635,-1.92187477089465,
,,,-0.986603,-1.92187477089465,
,,,-0.986571,-1.92187477089465,
,,,-0.986539,-1.92187477089465,
,,,-0.986507,-1.92187477089465,
,,,-0.986475,-1.92187477089465,
,,,-0.986443,-1.92187477089465,
,,,-0.986411,-1.92187477089465,
,,,-0.986379,-1.92187477089465,
,,,-0.986347,-1.92187477089465,
