Address:,USB0::0x0957::0x179A::MY62160698::0::INSTR,,Function Channels,,
Model:,DSO-X 2004A,,Time (s),M1,
,,,-2.4198875,-0.0205078149447218,
,,,-2.4197875,-0.0410156298894435,
,,,-2.4196875,-0.06054688221775,
,,,-2.4195875,-0.0205078149447218,
,,,-2.4194875,-0.0410156298894435,
,,,-2.4193875,-0.0410156298894435,
,,,-2.4192875,-0.0410156298894435,
,,,-2.4191875,-0.0410156298894435,
,,,-2.4190875,-0.0410156298894435,
,,,-2.4189875,-0.0410156298894435,
,,,-2.4188875,-0.06054688221775,
,,,-2.4187875,-0.0205078149447218,
,,,-2.4186875,-0.0410156298894435,
,,,-2.4185875,-0.06054688221775,
,,,-2.4184875,-0.0410156298894435,
,,,-2.4183875,-0.06054688221775,
,,,-2.4182875,-0.06054688221775,
,,,-2.4181875,-0.06054688221775,
,,,-2.4180875,-0.0810546971624717,
,,,-2.4179875,-0.0410156298894435,
,,,-2.4178875,-0.0810546971624717,
,,,-2.4177875,-0.06054688221775,
,,,-2.4176875,-0.06054688221775,
,,,-2.4175875,-0.06054688221775,
,,,-2.4174875,-0.0810546971624717,
,,,-2.4173875,-0.06054688221775,
,,,-2.4172875,-0.06054688221775,
,,,-2.4171875,-0.06054688221775,
,,,-2.4170875,-0.0810546971624717,
,,,-2.4169875,-0.06054688221775,
,,,-2.4168875,-0.0810546971624717,
,,,-2.4167875,-0.06054688221775,
,,,-2.4166875,-0.0410156298894435,
,,,-2.4165875,-0.06054688221775,
,,,-2.4164875,-0.0410156298894435,
,,,-2.4163875,-0.06054688221775,
,,,-2.4162875,-0.0810546971624717,
,,,-2.4161875,-0.06054688221775,
,,,-2.4160875,-0.06054688221775,
,,,-2.4159875,-0.06054688221775,
,,,-2.4158875,-0.06054688221775,
,,,-2.4157875,-0.06054688221775,
,,,-2.4156875,-0.0410156298894435,
,,,-2.4155875,-0.0410156298894435,
,,,-2.4154875,-0.06054688221775,
,,,-2.4153875,-0.0410156298894435,
,,,-2.4152875,-0.0410156298894435,
,,,-2.4151875,-0.0410156298894435,
,,,-2.4150875,-0.0205078149447218,
,,,-2.4149875,-0.0205078149447218,
,,,-2.4148875,-0.0205078149447218,
,,,-2.4147875,-0.0410156298894435,
,,,-2.4146875,-0.0410156298894435,
,,,-2.4145875,-0.0410156298894435,
,,,-2.4144875,-0.0205078149447218,
,,,-2.4143875,-0.0205078149447218,
,,,-2.4142875,-0.0205078149447218,
,,,-2.4141875,0.0195312523283064,
,,,-2.4140875,0,
,,,-2.4139875,0,
,,,-2.4138875,0,
,,,-2.4137875,0,
,,,-2.4136875,0,
,,,-2.4135875,0,
,,,-2.4134875,0,
,,,-2.4133875,0.0195312523283064,
,,,-2.4132875,0.0195312523283064,
,,,-2.4131875,0.0195312523283064,
,,,-2.4130875,0.0400390672730282,
,,,-2.4129875,0.0195312523283064,
,,,-2.4128875,0.0195312523283064,
,,,-2.4127875,0.0195312523283064,
,,,-2.4126875,0.0400390672730282,
,,,-2.4125875,0.0595703196013346,
,,,-2.4124875,0.0595703196013346,
,,,-2.4123875,0.0595703196013346,
,,,-2.4122875,0.0400390672730282,
,,,-2.4121875,0.0595703196013346,
,,,-2.4120875,0.0595703196013346,
,,,-2.4119875,0.0595703196013346,
,,,-2.4118875,0.0595703196013346,
,,,-2.4117875,0.0595703196013346,
,,,-2.4116875,0.0800781345460564,
,,,-2.4115875,0.0595703196013346,
,,,-2.4114875,0.0800781345460564,
,,,-2.4113875,0.0800781345460564,
,,,-2.4112875,0.0800781345460564,
,,,-2.4111875,0.0800781345460564,
,,,-2.4110875,0.0996093868743628,
,,,-2.4109875,0.0800781345460564,
,,,-2.4108875,0.0996093868743628,
,,,-2.4107875,0.0800781345460564,
